Unnamed: 0,isbuyer,buy_freq,visit_freq,buy_interval,sv_interval,expected_time_buy,expected_time_visit,last_buy,last_visit,multiple_buy,multiple_visit,uniq_urls,num_checkins,y_buy
20962,0,0,1,0.00000,0.00000,0.00000,0.00000,33,33,0,0,100,481,0
6628,0,0,2,0.00000,0.04167,0.00000,-45.63879,45,45,0,1,1,3,0
5566,0,0,1,0.00000,0.00000,0.00000,0.00000,70,70,0,0,16,31,0
28862,0,0,1,0.00000,0.00000,0.00000,0.00000,2,2,0,0,2,17,0
29111,0,0,1,0.00000,0.00000,0.00000,0.00000,179,179,0,0,81,1535,0
16928,0,0,4,0.00000,56.01389,0.00000,39.20861,2,2,0,1,173,1509,0
5480,0,0,1,0.00000,0.00000,0.00000,0.00000,7,7,0,0,166,1694,0
15760,0,0,1,0.00000,0.00000,0.00000,0.00000,59,59,0,0,134,466,0
35307,0,0,2,0.00000,0.04167,0.00000,-30.70891,30,30,0,1,20,40,0
14813,0,0,1,0.00000,0.00000,0.00000,0.00000,131,131,0,0,122,5311,0
24134,0,0,1,0.00000,0.00000,0.00000,0.00000,80,80,0,0,116,198,0
7160,1,1,18,0.00000,6.01961,0.00000,-75.35281,81,81,0,1,173,551,0
1507,0,0,1,0.00000,0.00000,0.00000,0.00000,5,5,0,0,1,14,0
3256,0,0,1,0.00000,0.00000,0.00000,0.00000,7,7,0,0,59,539,0
21375,1,1,2,0.00000,65.87500,0.00000,-47.00248,79,79,0,1,162,1323,0
23688,0,0,1,0.00000,0.00000,0.00000,0.00000,2,2,0,0,150,1059,0
11437,0,0,2,0.00000,8.08333,0.00000,-49.96762,54,54,0,1,156,690,0
36693,0,0,11,0.00000,14.16250,0.00000,-1.07945,13,13,0,1,11,49,0
31506,0,0,1,0.00000,0.00000,0.00000,0.00000,11,11,0,0,20,50,0
27640,0,0,1,0.00000,0.00000,0.00000,0.00000,71,71,0,0,170,1607,0
33079,0,0,1,0.00000,0.00000,0.00000,0.00000,14,14,0,0,66,222,0
22571,0,0,2,0.00000,11.33333,0.00000,-134.29300,139,139,0,1,156,2364,0
2622,0,0,1,0.00000,0.00000,0.00000,0.00000,130,130,0,0,131,204,0
3897,0,0,1,0.00000,0.00000,0.00000,0.00000,101,101,0,0,20,51,0
20193,0,0,2,0.00000,129.04170,0.00000,48.66383,15,15,0,1,171,765,0
24609,0,0,1,0.00000,0.00000,0.00000,0.00000,93,93,0,0,171,1798,0
31612,0,0,1,0.00000,0.00000,0.00000,0.00000,140,140,0,0,173,1176,0
34072,0,0,1,0.00000,0.00000,0.00000,0.00000,36,36,0,0,31,84,0
37818,0,0,2,0.00000,3.79167,0.00000,-73.24102,75,75,0,1,23,72,0
25650,0,0,1,0.00000,0.00000,0.00000,0.00000,10,10,0,0,31,50,0
31976,0,0,1,0.00000,0.00000,0.00000,0.00000,34,34,0,0,5,109,0
37776,0,0,3,0.00000,1.47917,0.00000,-0.66242,1,1,0,1,25,62,0
2640,0,0,1,0.00000,0.00000,0.00000,0.00000,11,11,0,0,5,31,0
1143,0,0,2,0.00000,0.04167,0.00000,-57.75153,57,57,0,1,19,557,0
9328,0,0,1,0.00000,0.00000,0.00000,0.00000,144,144,0,0,161,2744,0
7210,0,0,2,0.00000,0.08333,0.00000,-10.93230,10,10,0,1,37,190,0
31657,0,0,1,0.00000,0.00000,0.00000,0.00000,2,2,0,0,9,19,0
27306,0,0,1,0.00000,0.00000,0.00000,0.00000,114,114,0,0,170,657,0
25508,0,0,1,0.00000,0.00000,0.00000,0.00000,153,153,0,0,176,1474,0
22511,0,0,1,0.00000,0.00000,0.00000,0.00000,1,1,0,0,-1,341,0
28378,0,0,1,0.00000,0.00000,0.00000,0.00000,154,154,0,0,184,1103,0
17966,0,0,1,0.00000,0.00000,0.00000,0.00000,3,3,0,0,49,60,0
10647,0,0,2,0.00000,9.95833,0.00000,-4.88613,9,9,0,1,0,217,0
25814,0,0,1,0.00000,0.00000,0.00000,0.00000,32,32,0,0,59,218,0
21825,0,0,4,0.00000,1.16667,0.00000,-4.11533,4,4,0,1,79,842,0
11030,0,0,1,0.00000,0.00000,0.00000,0.00000,92,92,0,0,168,745,0
